Case,Money,Rounds
51,836726,34
52,642445,72
53,391855,55
54,303307,24
55,747028,34
56,315055,31
57,884012,31
58,949059,27
59,170030,8
60,594862,71
61,638897,36
62,418969,20
63,680496,33
64,473629,22
65,994609,33
66,23830,9
67,480501,29
68,519852,58
69,238781,16
70,181612,45
71,198497,11
72,848812,23
73,504576,37
74,800525,33
75,828281,19
