Case,Money,Rounds
76,974851,674
77,478727,634
78,123049,413
79,509927,265
80,776255,403
81,481497,273
82,233224,519
83,859718,1041
84,853086,431
85,913027,670
86,102917,600
87,474702,433
88,298441,307
89,511404,508
90,82636,488
91,334914,486
92,831917,533
93,158683,290
94,159404,520
95,73561,376
96,658434,415
97,375971,724
98,348515,304
99,765029,446
100,536263,435
