Case,Money,Rounds
51,395112,451
52,609889,445
53,832978,852
54,914738,258
55,465677,388
56,355137,505
57,618638,373
58,617078,447
59,177221,751
60,12021,193
61,797785,345
62,722184,426
63,795659,829
64,553914,426
65,130232,765
66,858432,508
67,708172,503
68,24735,338
69,191946,371
70,665572,670
71,726155,515
72,148708,384
73,209890,275
74,139513,332
75,37181,477
