Case,Money,Rounds
1,923928,514
2,125089,334
3,343760,418
4,486798,553
5,594862,510
6,383033,758
7,797354,750
8,796045,543
9,124153,415
10,517786,354
11,765132,697
12,678168,565
13,402141,335
14,805929,267
15,456134,347
16,381781,753
17,575852,327
18,225475,514
19,598298,482
20,191451,511
21,660297,539
22,495736,566
23,624469,421
24,293254,384
25,998975,532
