Case,Money,Rounds
76,105831,13
77,95155,24
78,306581,10
79,371144,32
80,196765,46
81,563927,38
82,916158,29
83,703074,27
84,69897,41
85,323010,15
86,57290,51
87,866494,34
88,70009,22
89,513953,24
90,382194,17
91,976131,27
92,489654,20
93,884906,21
94,120936,33
95,67437,20
96,262839,48
97,483453,42
98,782864,18
99,87455,27
100,329405,16
